"","specie_name","specie_code"
"702","Tilapia camerunensis","1488261"
"703","Tilapia cessiana","1051729"
"704","Tilapia coffea","1051725"
"705","Tilapia congica","1622752"
"706","Tilapia dageti","1051726"
"707","Tilapia deckerti","1527868"
"708","Tilapia discolor","1623974"
"709","Tilapia flava","1566597"
"710","Tilapia guinasana","1015144"
"711","Tilapia gutturosa","1566598"
"712","Tilapia imbriferna","1566599"
"713","Tilapia joka","1527755"
"714","Tilapia kottae","1471195"
"715","Tilapia louka","1048608"
"716","Tilapia margaritacea","1531236"
"717","Tilapia mariae","282978"
"718","Tilapia nyongana","1052232"
"719","Tilapia rheophila","1528168"
"720","Tilapia ruweti","1013494"
"721","Tilapia snyderae","1566600"
"722","Tilapia spongotroktis","1566601"
"723","Tilapia tholloni","1389339"
"724","Tilapia thysi","1566602"
"725","Tilapia walteri","1051899"
"726","Eclectochromis festivus","1622335"
"727","Ectodus descampsii","1019144"
"728","Enantiopus albini","1624133"
"729","Eretmodus cyanostictus","1019145"
"730","Exochochromis anagenys","1011572"
"731","Fossorochromis rostratus","1016786"
"732","Gephyrochromis lawsi","1013944"
"733","Gnathochromis permaxillaris","1525326"
"734","Gobiocichla ethelwynnae","1383760"
"735","Grammatotria lemairii","1383111"
"736","Greenwoodochromis bellcrossi","1524338"
"737","Guianacara oelemariensis","1011517"
"738","Gymnogeophagus balzanii","1017030"
